instagram_id,max_posts,follower,numMonth,numWeek,numMonthTag,numWeekTag,recent_post_date
takurokishibe,12,2672,12,7,0,0,20180907
mt__book,12,214,3,1,0,0,20180901
reward_interior,12,209,4,1,1,1,20180831
1mt_mt2,12,410,12,3,0,0,20180905
muchachasuerte,12,145,4,0,1,0,20180830
mukuri,12,1493,12,0,0,0,20180828
mumrikcoffee,12,449,12,2,2,1,20180905
mumumimi6633,12,15,1,0,0,0,20180827
munpa.6080,12,155,9,2,1,1,20180907
kyoto.muramura,12,237,1,1,0,0,20180906
mu_select,12,635,12,6,0,0,20180907
jorchidjewels,12,1859,12,12,6,6,20180906
nabetomana,12,331,12,6,4,4,20180905
nagareyamalures,12,133,9,2,0,0,20180903
nagasawaenn,12,330,7,2,1,0,20180903
hamucoffee,12,842,12,2,5,2,20180904
nakaokacof,12,178,0,0,0,0,20180412
nakazaki_coffee_roaster,12,676,12,6,0,0,20180906
namikazebags,12,577,12,0,0,0,20180826
nanala_design,12,1505,12,2,4,0,20180906
naonaonuts,12,107,10,3,0,0,20180907
naotooga,12,980,12,2,0,0,20180903
nastrosa_nao,12,4114,12,4,0,0,20180906
zakka.accessory.nattsu,12,187,12,7,12,7,20180907
natur_aloha7,12,485,12,8,6,4,20180906
neige_accessory,12,195,12,5,8,5,20180906
nekotonekoinu,12,190,7,2,0,0,20180906
nemachel,12,535,0,0,0,0,20180707
boutique_neon,8,62,8,0,0,0,20180823
newonehawaii,12,1167,12,12,0,0,20180907
ngcnmc,12,189,7,0,1,0,20180829
nicori.kyoto,12,84,4,2,0,0,20180905
nidom216,12,425,6,1,0,0,20180904
nihonneko7,12,112,11,6,4,4,20180906
nishi_akiland,12,530,9,2,0,0,20180905
thenaturalkillers,12,530,12,12,0,0,20180906
kazutaka07010217,12,134,10,1,0,0,20180903
noble.bridge,9,17,1,1,0,0,20180902
noce.ig,12,532,12,12,11,11,20180906
nono.ofcl,12,129,1,0,0,0,20180823
nonoko0629,12,1486,2,1,0,0,20180904
_n.rth_,12,172,12,0,5,0,20180828
info_nounours,12,75,12,1,0,0,20180831
nukutanabe_marushige,12,330,1,0,0,0,20180823
number8ec,12,1378,7,2,3,1,20180901
nunc_official,12,461,12,0,0,0,20180829
nuta_design,12,152,12,12,7,7,20180906
_n_vintage_,12,807,12,12,0,0,20180907
ocean_holiday_official,12,131,12,5,0,0,20180906
sueyoshiseichakobo,12,89,3,0,0,0,20180825
oeuftarte,12,107,6,2,2,0,20180904
shop_okinio,12,41,10,3,4,3,20180903
okpapers,12,1434,12,3,0,0,20180907
oldrookieofficial,12,145,4,2,0,0,20180905
yumiku_oluolu,12,128,4,0,0,0,20180816
omasgartentokyo,12,437,8,1,1,0,20180906
omitanomizu_official,12,268,12,6,0,0,20180906
icchne,12,185,12,4,1,0,20180906
uminomasao,12,301,12,0,2,0,20180828
one_noble_novel,12,474,12,5,6,3,20180905
